ref,uid,pool_size,roles_clean,industries_clean,location_clean,latitude,longitude,city,state,cleaned_roles,gpt_industry,PC URL
66fc0fc513ed8d834bef9085,66fc0f57de042161077f800f,76553,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66fc0fc513ed8d834bef9085?joid=66fc0f57de042161077f800f&redirect_joid=66fc0f57de042161077f800f&back=search
66fc024a13ed8d3a70ef9082,66ed68d0ab0eb9e52e573657,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66fc024a13ed8d3a70ef9082?joid=66ed68d0ab0eb9e52e573657&redirect_joid=66ed68d0ab0eb9e52e573657&back=search
66fc610913ed8d56cdef9092,66fc3846de04211f757f817f,10242,"vice president of salesbd, vp of sales",sales,New York,40.7127753,-74.0059728,New York,New York,"vice president of salesbd, vp of sales",Other,https://app-next.findem.io/searches/66fc610913ed8d56cdef9092?joid=66fc3846de04211f757f817f&redirect_joid=66fc3846de04211f757f817f&back=search
66faaf2d13ed8d07a6ef9071,66faae84a5f1d9a555ec68fd,0,"patient care, pharmacy technician, prescription data entry, vaccination","health care, health insurance, home health care, pharmaceutical",Miami,25.7616798,-80.1917902,Miami,Florida,"patient care, pharmacy technician, prescription data entry, vaccination",Healthcare,https://app-next.findem.io/searches/66faaf2d13ed8d07a6ef9071?joid=66faae84a5f1d9a555ec68fd&redirect_joid=66faae84a5f1d9a555ec68fd&back=search
66fcec1013ed8d7a3eef9098,66fceb19de042126b37f83af,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66fcec1013ed8d7a3eef9098?joid=66fceb19de042126b37f83af&redirect_joid=66fceb19de042126b37f83af&back=search
66fd763f13ed8d8565ef90a1,66fd748d711130b54ff1ca42,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66fd763f13ed8d8565ef90a1?joid=66fd748d711130b54ff1ca42&redirect_joid=66fd748d711130b54ff1ca42&back=search
66fb066113ed8d8d7def9076,66fb0460cde6b2981ddf56a6,192,"66367c6a70ac390249ca2d09, cashier, pizzasub cook","beverage, food, food delivery, food processing",Lincoln,,,,,"cashier, pizzasub cook",Retail,https://app-next.findem.io/searches/66fb066113ed8d8d7def9076?joid=66fb0460cde6b2981ddf56a6&redirect_joid=66fb0460cde6b2981ddf56a6&back=search
66fc4d7113ed8d6dc6ef908c,66fc4ca8711130a28bf1c6df,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66fc4d7113ed8d6dc6ef908c?joid=66fc4ca8711130a28bf1c6df&redirect_joid=66fc4ca8711130a28bf1c6df&back=search
66fc23a113ed8df90fef9088,66fc230bcde6b27b0ddf56c9,806,medical assistant,"alternative medicine, medical, rehabilitation, therapeutics",Rhode Island,41.5800945,-71.4774291,,Rhode Island,medical assistant,Healthcare,https://app-next.findem.io/searches/66fc23a113ed8df90fef9088?joid=66fc230bcde6b27b0ddf56c9&redirect_joid=66fc230bcde6b27b0ddf56c9&back=search
66fb6ec013ed8d2322ef907e,66fb6e64de0421548b7f7e15,11220,barista,coffee,Los Angeles,34.0549076,-118.242643,Los Angeles,California,barista,Hospitality,https://app-next.findem.io/searches/66fb6ec013ed8d2322ef907e?joid=66fb6e64de0421548b7f7e15&redirect_joid=66fb6e64de0421548b7f7e15&back=search
